"","","RImean"
"ABEsevi","ABEsevi","38.6892538829617"
"AETchry","AETchry","30.7191765325327"
"ANIimit","ANIimit","36.7149385546845"
"APOdata","APOdata","36.822757899965"
"BANindi","BANindi","39.1320310896632"
"BUNchry","BUNchry","34.59575221469"
"CHIglir","CHIglir","33.1125280048491"
"CHIglir","CHIglir","45.2623125312627"
"CHImajo","CHImajo","39.7251724727952"
"CHIpusi","CHIpusi","31.1781273148785"
"CHIforb","CHIforb","35.6724831941195"
"CHIforb","CHIforb","40.701370243943"
"CHIlami","CHIlami","34.5014507352355"
"CHIpulc","CHIpulc","36.6956561284283"
"CHIvate","CHIvate","38.6282883533651"
"COCshaw","COCshaw","37.936999308224"
"CONpeni","CONpeni","26.006579959387"
"CRAhean","CRAhean","46.8222970579948"
"GOLelli","GOLelli","28.0169565008161"
"THApoen","THApoen","28.8844188077986"
"THApoen","THApoen","28.3538297639783"
"HAEmina","HAEmina","32.6706342539997"
"HAEpusi","HAEpusi","24.2984253389571"
"HAPlong","HAPlong","31.0395714238057"
"HAPlong","HAPlong","26.8249291920494"
"HYDchry","HYDchry","44.6853475158793"
"HYOgoli","HYOgoli","58.4512837350785"
"HYOgoli","HYOgoli","54.0056706419833"
"HYOgoli","HYOgoli","45.9031728586944"
"LEGforr","LEGforr","37.9496459269433"
"LEMstri","LEMstri","26.3954286230262"
"LENcana","LENcana","33.4056934107338"
"LEPcond","LEPcond","36.8131305809556"
"LEPspce","LEPspce","36.1196358316398"
"LORnouh","LORnouh","28.3065897990276"
"LORnouh","LORnouh","25.8827589368933"
"MACmajo","MACmajo","33.3262148510129"
"MALherc","MALherc","60.0970544846917"
"MALista","MALista","63.2247084048117"
"MALroth","MALroth","55.8097989974217"
"MARbecc","MARbecc","30.8870335305789"
"MELcerv","MELcerv","41.6866173718698"
"MELrufe","MELrufe","45.5589679289988"
"MELrufe","MELrufe","39.966523538404"
"MELrufe","MELrufe","39.6762499524434"
"MESgoul","MESgoul","32.5910403669034"
"MICnama","MICnama","25.78924775214"
"MICspce","MICspce","33.5148462769269"
"MICminu","MICminu","41.5024588833182"
"MICminu","MICminu","35.4459370406273"
"MILmelt","MILmelt","34.6127771346356"
"NIVcrem","NIVcrem","29.0722627529604"
"NOTalex","NOTalex","26.8765606410887"
"PARaspe","PARaspe","43.83027576743"
"PARspce","PARspce","29.9924378812853"
"TAEdomi","TAEdomi","33.6367849522457"
"PHLcumi","PHLcumi","47.2347711035537"
"PHLpall","PHLpall","40.3070430394502"
"PITmela","PITmela","39.0083842708857"
"PITmela","PITmela","38.271970711218"
"POGmaye","POGmaye","41.1690158278463"
"ABEsevi","ABEsevi","39.8332428064052"
"ABEsevi","ABEsevi","37.9389156617551"
"POGlori","POGlori","37.1303039924049"
"POGlori","POGlori","37.8340846520146"
"POGlori","POGlori","38.3545482152982"
"POGmacr","POGmacr","33.4925987937377"
"POGmacr","POGmacr","41.8522300987817"
"POGlori","POGlori","36.596120345777"
"POGsylv","POGsylv","36.1487862736798"
"POGsylv","POGsylv","37.7192043631384"
"PROfell","PROfell","42.4959036136458"
"PROfell","PROfell","40.4283179427018"
"PROfell","PROfell","31.5324365769519"
"PSEaust","PSEaust","34.3461185467138"
"RATmacl","RATmacl","41.8362183383379"
"RATnati","RATnati","49.5793689408936"
"RHYisar","RHYisar","45.5123544751925"
"SOLsapi","SOLsapi","47.3519900752483"
"SOLsapi","SOLsapi","44.7052281299642"
"TAEarcu","TAEarcu","31.1888951782689"
"THAspce","THAspce","33.5293625183955"
"UROcaud","UROcaud","37.0216244550231"
"UROcaud","UROcaud","35.6580513184828"
"UROimpe","UROimpe","49.3968848634706"
"UROimpe","UROimpe","52.3902771830386"
"UROrex_","UROrex_","45.152534972459"
"UROrex_","UROrex_","47.1367077032493"
"VANoler","VANoler","28.7844104861425"
"ZYZargu","ZYZargu","30.3758733732175"
