"","","RIdistmean"
"ABEsevi","ABEsevi","34.490148163773"
"AETchry","AETchry","23.5431707862346"
"ANIimit","ANIimit","26.0678820848121"
"APOdata","APOdata","28.8202078018016"
"BANindi","BANindi","29.7805148309487"
"BUNchry","BUNchry","27.171025069057"
"CHIglir","CHIglir","24.5326466666113"
"CHIglir.1","CHIglir.1","42.7705482964955"
"CHImajo","CHImajo","34.7802161157146"
"CHIpusi","CHIpusi","22.4641851396293"
"CHIforb","CHIforb","30.1907841110347"
"CHIforb.1","CHIforb.1","34.8442739679814"
"CHIlami","CHIlami","29.9393034997591"
"CHIpulc","CHIpulc","31.4567926732227"
"CHIvate","CHIvate","35.4328677253649"
"COCshaw","COCshaw","34.0419184837999"
"CONpeni","CONpeni","16.2341637098384"
"CRAhean","CRAhean","33.2516662603629"
"GOLelli","GOLelli","20.4468545532903"
"THApoen","THApoen","23.2702561848862"
"THApoen.1","THApoen.1","21.8572877558871"
"HAEmina","HAEmina","25.6894262390141"
"HAEpusi","HAEpusi","16.82386888742"
"HAPlong","HAPlong","23.6799787611"
"HAPlong.1","HAPlong.1","19.8039519714545"
"HYDchry","HYDchry","35.9815417405477"
"HYOgoli","HYOgoli","51.2382823592205"
"HYOgoli.1","HYOgoli.1","48.1273368916558"
"HYOgoli.2","HYOgoli.2","35.5942515864671"
"LEGforr","LEGforr","30.0895858140282"
"LEMstri","LEMstri","14.9304947069838"
"LENcana","LENcana","27.4875109595307"
"LEPcond","LEPcond","29.4486615929739"
"LEPspce","LEPspce","27.3261379552953"
"LORnouh","LORnouh","21.5784472236852"
"LORnouh.1","LORnouh.1","20.4119325358014"
"MACmajo","MACmajo","24.8232253849225"
"MALherc","MALherc","54.7060131341821"
"MALista","MALista","56.7138356127152"
"MALroth","MALroth","50.3509723774647"
"MARbecc","MARbecc","26.2383679720778"
"MELcerv","MELcerv","37.2047092236309"
"MELrufe","MELrufe","40.0679431293243"
"MELrufe.1","MELrufe.1","33.5036377657813"
"MELrufe.2","MELrufe.2","33.1849248493054"
"MESgoul","MESgoul","20.7001183974945"
"MICnama","MICnama","18.4988455138561"
"MICspce","MICspce","26.9414830738273"
"MICminu","MICminu","36.1882045406685"
"MICminu.1","MICminu.1","29.796341761237"
"MILmelt","MILmelt","23.5947743408564"
"NIVcrem","NIVcrem","23.736423575249"
"NOTalex","NOTalex","18.7052889190888"
"PARaspe","PARaspe","33.4508256845487"
"PARspce","PARspce","23.387905664338"
"TAEdomi","TAEdomi","27.3476227039447"
"PHLcumi","PHLcumi","35.6315333091698"
"PHLpall","PHLpall","30.1071267794739"
"PITmela","PITmela","34.4513832789334"
"PITmela.1","PITmela.1","32.9624250971534"
"POGmaye","POGmaye","36.1025178686003"
"ABEsevi.1","ABEsevi.1","34.0054127355984"
"ABEsevi.2","ABEsevi.2","32.7646443458162"
"POGlori","POGlori","33.1205450822577"
"POGlori.1","POGlori.1","33.9306488775266"
"POGlori.2","POGlori.2","34.4086619212463"
"POGmacr","POGmacr","30.6363214457516"
"POGmacr.1","POGmacr.1","39.8509591568067"
"POGlori.3","POGlori.3","32.7317177179557"
"POGsylv","POGsylv","31.2649173065263"
"POGsylv.1","POGsylv.1","33.4881306497813"
"PROfell","PROfell","33.1023838080049"
"PROfell.1","PROfell.1","35.4196248895192"
"PROfell.2","PROfell.2","25.8106062250616"
"PSEaust","PSEaust","27.3859458454266"
"RATmacl","RATmacl","34.1531889350692"
"RATnati","RATnati","41.2396909349144"
"RHYisar","RHYisar","35.7345189420494"
"SOLsapi","SOLsapi","39.5850385989811"
"SOLsapi.1","SOLsapi.1","37.5441651745526"
"TAEarcu","TAEarcu","24.0498425803146"
"THAspce","THAspce","25.1607797100029"
"UROcaud","UROcaud","29.8193563537581"
"UROcaud.1","UROcaud.1","26.3926243120334"
"UROimpe","UROimpe","40.1723116149894"
"UROimpe.1","UROimpe.1","43.760442517922"
"UROrex_","UROrex_","35.5739536390055"
"UROrex_.1","UROrex_.1","38.9705235648703"
"VANoler","VANoler","24.9396855090751"
"ZYZargu","ZYZargu","16.7764139708729"
