"","","ResidualRIdist"
"ABEsevi","ABEsevi","5.08227656192695"
"AETchry","AETchry","-5.69651603614405"
"ANIimit","ANIimit","-7.91484527432763"
"APOdata","APOdata","-1.35926518862533"
"BANindi","BANindi","-6.63300461748964"
"BUNchry","BUNchry","-3.36838675265655"
"CHIglir","CHIglir","0.357355614308627"
"CHIglir.1","CHIglir.1","17.3699080879614"
"CHImajo","CHImajo","8.09631644370444"
"CHIpusi","CHIpusi","-0.10252160159914"
"CHIforb","CHIforb","-1.53863821154347"
"CHIforb.1","CHIforb.1","3.01529185233197"
"CHIlami","CHIlami","-0.112758561398372"
"CHIpulc","CHIpulc","-1.05544276446353"
"CHIvate","CHIvate","6.63213845326451"
"COCshaw","COCshaw","6.36657853224266"
"CONpeni","CONpeni","-14.6823406066559"
"CRAhean","CRAhean","-8.07060802461826"
"GOLelli","GOLelli","-7.94362584644257"
"THApoen","THApoen","-5.63930149507844"
"THApoen.1","THApoen.1","-4.65205955968471"
"HAEmina","HAEmina","1.17925664811608"
"HAEpusi","HAEpusi","-8.01676907514075"
"HAPlong","HAPlong","-8.03500215713049"
"HAPlong.1","HAPlong.1","-12.0683795267662"
"HYDchry","HYDchry","-0.53588739622488"
"HYOgoli","HYOgoli","12.4604194490798"
"HYOgoli.1","HYOgoli.1","11.2513235437616"
"HYOgoli.2","HYOgoli.2","-2.46669651086824"
"LEGforr","LEGforr","5.37027139277656"
"LEMstri","LEMstri","-14.158703564896"
"LENcana","LENcana","-4.14378973245358"
"LEPcond","LEPcond","-1.52263156946158"
"LEPspce","LEPspce","-2.83592768566563"
"LORnouh","LORnouh","-3.70237985285682"
"LORnouh.1","LORnouh.1","-3.35822955345286"
"MACmajo","MACmajo","-8.38751860412696"
"MALherc","MALherc","15.4409671856969"
"MALista","MALista","18.5863781368117"
"MALroth","MALroth","11.3978710244423"
"MARbecc","MARbecc","-1.63526310315982"
"MELcerv","MELcerv","7.65063308516187"
"MELrufe","MELrufe","10.7832599483974"
"MELrufe.1","MELrufe.1","4.58858395943953"
"MELrufe.2","MELrufe.2","3.53788780512598"
"MESgoul","MESgoul","-13.4949040435876"
"MICnama","MICnama","-9.00203508689499"
"MICspce","MICspce","2.69752881366948"
"MICminu","MICminu","12.8800312144679"
"MICminu.1","MICminu.1","4.29671022598446"
"MILmelt","MILmelt","-10.6884325579565"
"NIVcrem","NIVcrem","-2.1784722579637"
"NOTalex","NOTalex","-8.23299847913022"
"PARaspe","PARaspe","-1.4137866765935"
"PARspce","PARspce","-4.48284951208657"
"TAEdomi","TAEdomi","-5.5797651816233"
"PHLcumi","PHLcumi","-3.6309379027413"
"PHLpall","PHLpall","-10.1094953041494"
"PITmela","PITmela","3.11542532050732"
"PITmela.1","PITmela.1","0.899028505593537"
"POGmaye","POGmaye","5.3248053069508"
"ABEsevi.1","ABEsevi.1","3.56092044871152"
"ABEsevi.2","ABEsevi.2","3.70163047836955"
"POGlori","POGlori","2.39708944183093"
"POGlori.1","POGlori.1","3.94457954605474"
"POGlori.2","POGlori.2","0.996110086644656"
"POGmacr","POGmacr","1.70503339285881"
"POGmacr.1","POGmacr.1","10.4862389980633"
"POGlori.3","POGlori.3","2.16841798720781"
"POGsylv","POGsylv","2.18220445744804"
"POGsylv.1","POGsylv.1","4.56392136202857"
"PROfell","PROfell","3.50859624291471"
"PROfell.1","PROfell.1","5.57939718095645"
"PROfell.2","PROfell.2","-3.30607369931312"
"PSEaust","PSEaust","-0.417409790893377"
"RATmacl","RATmacl","-0.410644772636026"
"RATnati","RATnati","5.34840852707484"
"RHYisar","RHYisar","3.94539424845517"
"SOLsapi","SOLsapi","4.7185757510509"
"SOLsapi.1","SOLsapi.1","2.48286480679039"
"TAEarcu","TAEarcu","-7.36805835342449"
"THAspce","THAspce","-4.59903230988185"
"UROcaud","UROcaud","-6.01515654282031"
"UROcaud.1","UROcaud.1","-10.2398836549505"
"UROimpe","UROimpe","3.98435169287421"
"UROimpe.1","UROimpe.1","8.06532363528488"
"UROrex_","UROrex_","-1.85413221323675"
"UROrex_.1","UROrex_.1","2.854839460517"
"VANoler","VANoler","-0.747180906144512"
"ZYZargu","ZYZargu","-11.1664027379006"
