"","","RIlqmean"
"ABEsevi","ABEsevi","61.3623265606284"
"AETchry","AETchry","38.6930232140559"
"ANIimit","ANIimit","37.3059115740633"
"APOdata","APOdata","31.2846983748496"
"BANindi","BANindi","45.7655918983645"
"BUNchry","BUNchry","48.7807165252222"
"CHIglir","CHIglir","28.93995918037"
"CHIglir.1","CHIglir.1","93.9851323403298"
"CHImajo","CHImajo","77.0610838302937"
"CHIpusi","CHIpusi","24.3053109056876"
"CHIforb","CHIforb","46.4788084492277"
"CHIforb.1","CHIforb.1","60.9375265102085"
"CHIlami","CHIlami","47.1715855897395"
"CHIpulc","CHIpulc","44.4370405181837"
"CHIvate","CHIvate","72.1688452763507"
"COCshaw","COCshaw","62.9347389177656"
"CONpeni","CONpeni","15.9045909235919"
"CRAhean","CRAhean","37.0530185873392"
"GOLelli","GOLelli","41.9585148170576"
"THApoen","THApoen","35.0890671055887"
"THApoen.1","THApoen.1","19.781456652805"
"HAEmina","HAEmina","43.2158715180809"
"HAEpusi","HAEpusi","22.4096555931975"
"HAPlong","HAPlong","20.8955991837151"
"HAPlong.1","HAPlong.1","17.6377865639775"
"HYDchry","HYDchry","32.8050780321237"
"HYOgoli","HYOgoli","97.3377079544298"
"HYOgoli.1","HYOgoli.1","82.9923118687192"
"HYOgoli.2","HYOgoli.2","46.0076301712621"
"LEGforr","LEGforr","52.6029563140126"
"LEMstri","LEMstri","12.0060440052902"
"LENcana","LENcana","35.295668413397"
"LEPcond","LEPcond","36.7928446355975"
"LEPspce","LEPspce","43.3080555055426"
"LORnouh","LORnouh","31.2510018719596"
"LORnouh.1","LORnouh.1","34.0353673318948"
"MACmajo","MACmajo","26.0056173562059"
"MALherc","MALherc","87.4340177299762"
"MALista","MALista","71.521556492567"
"MALroth","MALroth","76.8055713155728"
"MARbecc","MARbecc","34.2065712221226"
"MELcerv","MELcerv","75.9474478171008"
"MELrufe","MELrufe","71.223477352782"
"MELrufe.1","MELrufe.1","62.1410747802604"
"MELrufe.2","MELrufe.2","50.5677704865765"
"MESgoul","MESgoul","15.1017356579729"
"MICnama","MICnama","26.4848278588414"
"MICspce","MICspce","49.3616213852966"
"MICminu","MICminu","49.768772015039"
"MICminu.1","MICminu.1","40.5288732082993"
"MILmelt","MILmelt","18.3308431203457"
"NIVcrem","NIVcrem","39.2536859953166"
"NOTalex","NOTalex","24.5263541336346"
"PARaspe","PARaspe","32.7285170615533"
"PARspce","PARspce","39.2026303249742"
"TAEdomi","TAEdomi","35.0941370854945"
"PHLcumi","PHLcumi","50.7425223160554"
"PHLpall","PHLpall","17.2046913300694"
"PITmela","PITmela","63.7006178280862"
"PITmela.1","PITmela.1","52.7544264765799"
"POGmaye","POGmaye","61.4362715955252"
"ABEsevi.1","ABEsevi.1","48.9299797723994"
"ABEsevi.2","ABEsevi.2","51.6849608883829"
"POGlori","POGlori","60.3599122056609"
"POGlori.1","POGlori.1","63.4275319763995"
"POGlori.2","POGlori.2","57.9115614495118"
"POGmacr","POGmacr","53.9689853562992"
"POGmacr.1","POGmacr.1","75.1639072510041"
"POGlori.3","POGlori.3","48.3598957167714"
"POGsylv","POGsylv","44.6053626566309"
"POGsylv.1","POGsylv.1","56.66139306833"
"PROfell","PROfell","59.0220053285399"
"PROfell.1","PROfell.1","76.1461509269319"
"PROfell.2","PROfell.2","43.0095589659164"
"PSEaust","PSEaust","37.0576557773188"
"RATmacl","RATmacl","43.5521220331203"
"RATnati","RATnati","57.0574403926028"
"RHYisar","RHYisar","44.4983435257695"
"SOLsapi","SOLsapi","57.9153021697309"
"SOLsapi.1","SOLsapi.1","52.9202254624972"
"TAEarcu","TAEarcu","31.5958454429502"
"THAspce","THAspce","28.6425018019268"
"UROcaud","UROcaud","41.7025050379316"
"UROcaud.1","UROcaud.1","33.7455358582673"
"UROimpe","UROimpe","56.8750608561529"
"UROimpe.1","UROimpe.1","65.3606422389817"
"UROrex_","UROrex_","50.5032025945673"
"UROrex_.1","UROrex_.1","54.8832738772563"
"VANoler","VANoler","43.3446905622086"
"ZYZargu","ZYZargu","18.1905737600759"
