"","","ResidualTPEI"
"ABEsevi","ABEsevi","1.39988016921872"
"AETchry","AETchry","-7.88816247922938"
"ANIimit","ANIimit","-15.6476014216668"
"APOdata","APOdata","0.944714187978132"
"BANindi","BANindi","-5.98517008921315"
"BUNchry","BUNchry","-4.55202277226243"
"CHIglir","CHIglir","4.52983469967363"
"CHIglir.1","CHIglir.1","14.7873360975184"
"CHImajo","CHImajo","11.4731957810953"
"CHIpusi","CHIpusi","3.93578523453383"
"CHIforb","CHIforb","-0.198641607895213"
"CHIforb.1","CHIforb.1","6.20808319271103"
"CHIlami","CHIlami","-4.08164329414355"
"CHIpulc","CHIpulc","-5.10565750790825"
"CHIvate","CHIvate","1.52961939058421"
"COCshaw","COCshaw","5.82435476226468"
"CONpeni","CONpeni","-14.6556077858311"
"CRAhean","CRAhean","6.52094742649307"
"GOLelli","GOLelli","-4.71718309914894"
"THApoen","THApoen","-8.0043379319813"
"THApoen.1","THApoen.1","-7.34918960501699"
"HAEmina","HAEmina","2.8941490525687"
"HAEpusi","HAEpusi","-3.68500835157682"
"HAPlong","HAPlong","-6.6545332898551"
"HAPlong.1","HAPlong.1","-10.3925557958825"
"HYDchry","HYDchry","-14.4634438820353"
"HYOgoli","HYOgoli","14.8508416033873"
"HYOgoli.1","HYOgoli.1","13.8616874349531"
"HYOgoli.2","HYOgoli.2","-2.82368010935434"
"LEGforr","LEGforr","10.2341495601759"
"LEMstri","LEMstri","-3.26497116719326"
"LENcana","LENcana","-14.6436751331914"
"LEPcond","LEPcond","-4.64156719231027"
"LEPspce","LEPspce","3.38474091975056"
"LORnouh","LORnouh","-2.41173596585537"
"LORnouh.1","LORnouh.1","-0.598273647487851"
"MACmajo","MACmajo","-9.93659982075535"
"MALherc","MALherc","21.3317376896678"
"MALista","MALista","18.2109864905684"
"MALroth","MALroth","9.62808416915757"
"MARbecc","MARbecc","-5.7609013838853"
"MELcerv","MELcerv","4.65430797979983"
"MELrufe","MELrufe","10.6945138151705"
"MELrufe.1","MELrufe.1","11.3534672843697"
"MELrufe.2","MELrufe.2","4.94812092653241"
"MESgoul","MESgoul","-25.1090484818823"
"MICnama","MICnama","-7.47279469417474"
"MICspce","MICspce","11.535956601642"
"MICminu","MICminu","16.2107526659539"
"MICminu.1","MICminu.1","13.1912826706382"
"MILmelt","MILmelt","-3.11016978527908"
"NIVcrem","NIVcrem","-11.989761816304"
"NOTalex","NOTalex","-10.8456422543953"
"PARaspe","PARaspe","0.771031732735437"
"PARspce","PARspce","-9.70918373980891"
"TAEdomi","TAEdomi","-12.1599272235713"
"PHLcumi","PHLcumi","-0.135049847033577"
"PHLpall","PHLpall","-15.0277680058982"
"PITmela","PITmela","-0.133625595414822"
"PITmela.1","PITmela.1","3.93821394705045"
"POGmaye","POGmaye","7.16008708731516"
"ABEsevi.1","ABEsevi.1","2.70472226520345"
"ABEsevi.2","ABEsevi.2","-0.69569082217231"
"POGlori","POGlori","0.236518922412635"
"POGlori.1","POGlori.1","2.27012007862562"
"POGlori.2","POGlori.2","-9.34525679789936"
"POGmacr","POGmacr","-3.50734111662648"
"POGmacr.1","POGmacr.1","12.0232264779182"
"POGlori.3","POGlori.3","-3.33594729335098"
"POGsylv","POGsylv","1.18934613032654"
"POGsylv.1","POGsylv.1","2.39243603625951"
"PROfell","PROfell","4.30379634721666"
"PROfell.1","PROfell.1","-1.7470742821758"
"PROfell.2","PROfell.2","-5.27855654475453"
"PSEaust","PSEaust","1.02772963019788"
"RATmacl","RATmacl","0.639057790381877"
"RATnati","RATnati","13.0975109752315"
"RHYisar","RHYisar","5.71033640764879"
"SOLsapi","SOLsapi","15.645176374836"
"SOLsapi.1","SOLsapi.1","9.53224993757039"
"TAEarcu","TAEarcu","-14.0354860901963"
"THAspce","THAspce","-8.73889600134248"
"UROcaud","UROcaud","-17.2440711712554"
"UROcaud.1","UROcaud.1","-14.1589576337367"
"UROimpe","UROimpe","7.23546536367663"
"UROimpe.1","UROimpe.1","5.26871217217428"
"UROrex_","UROrex_","8.11507772870075"
"UROrex_.1","UROrex_.1","9.1123697449351"
"VANoler","VANoler","-3.52415989794178"
"ZYZargu","ZYZargu","-1.74514252792924"
