"","","ResidualTPEIdist"
"ABEsevi","ABEsevi","7.48715976648038"
"AETchry","AETchry","-10.9345630651234"
"ANIimit","ANIimit","-15.9933505688574"
"APOdata","APOdata","-1.93234886506908"
"BANindi","BANindi","-11.5377948008335"
"BUNchry","BUNchry","-6.06052885811124"
"CHIglir","CHIglir","2.7001541296271"
"CHIglir.1","CHIglir.1","15.6778118276828"
"CHImajo","CHImajo","9.20428366273613"
"CHIpusi","CHIpusi","2.14882745147038"
"CHIforb","CHIforb","2.91487575118133"
"CHIforb.1","CHIforb.1","7.95311588704163"
"CHIlami","CHIlami","0.831045850151634"
"CHIpulc","CHIpulc","-0.44843881993127"
"CHIvate","CHIvate","4.11707033751751"
"COCshaw","COCshaw","10.7236650654161"
"CONpeni","CONpeni","-17.2439958250213"
"CRAhean","CRAhean","-5.40860695443412"
"GOLelli","GOLelli","-13.0463975972489"
"THApoen","THApoen","-7.10910593612985"
"THApoen.1","THApoen.1","-5.79567211789121"
"HAEmina","HAEmina","2.47429658312848"
"HAEpusi","HAEpusi","-7.83325926874774"
"HAPlong","HAPlong","-5.37682515469284"
"HAPlong.1","HAPlong.1","-8.49372118140822"
"HYDchry","HYDchry","-14.3775701105643"
"HYOgoli","HYOgoli","10.5830999029261"
"HYOgoli.1","HYOgoli.1","18.1541180021071"
"HYOgoli.2","HYOgoli.2","-2.92072511808922"
"LEGforr","LEGforr","1.34864406802579"
"LEMstri","LEMstri","-13.337646490681"
"LENcana","LENcana","-10.1808998540013"
"LEPcond","LEPcond","-6.87272936289108"
"LEPspce","LEPspce","-0.870410287784966"
"LORnouh","LORnouh","-5.80578353197056"
"LORnouh.1","LORnouh.1","-2.63575791573717"
"MACmajo","MACmajo","-12.2706542804789"
"MALherc","MALherc","20.2661242347811"
"MALista","MALista","21.6597296305226"
"MALroth","MALroth","12.6690887600156"
"MARbecc","MARbecc","-3.19641028273346"
"MELcerv","MELcerv","5.90151246436687"
"MELrufe","MELrufe","11.7837032020928"
"MELrufe.1","MELrufe.1","7.77837309301014"
"MELrufe.2","MELrufe.2","3.6015328483751"
"MESgoul","MESgoul","-23.5562061139665"
"MICnama","MICnama","-12.3340975126377"
"MICspce","MICspce","4.07866279296623"
"MICminu","MICminu","16.9314262056981"
"MICminu.1","MICminu.1","8.19709275566486"
"MILmelt","MILmelt","-15.1798855360605"
"NIVcrem","NIVcrem","-5.60285977107441"
"NOTalex","NOTalex","-11.5893398815906"
"PARaspe","PARaspe","-5.66243761643993"
"PARspce","PARspce","-10.1176090936953"
"TAEdomi","TAEdomi","-9.76657840084947"
"PHLcumi","PHLcumi","-3.94080609059398"
"PHLpall","PHLpall","-13.1170899327676"
"PITmela","PITmela","4.19456701337322"
"PITmela.1","PITmela.1","6.60531571903773"
"POGmaye","POGmaye","5.51955893019738"
"ABEsevi.1","ABEsevi.1","3.83286585629069"
"ABEsevi.2","ABEsevi.2","3.03757574842816"
"POGlori","POGlori","7.63635502464265"
"POGlori.1","POGlori.1","8.44835101912754"
"POGlori.2","POGlori.2","0.477887807559443"
"POGmacr","POGmacr","5.3694922767749"
"POGmacr.1","POGmacr.1","18.2966281357785"
"POGlori.3","POGlori.3","8.34764070692645"
"POGsylv","POGsylv","5.83340823793888"
"POGsylv.1","POGsylv.1","9.80059759215984"
"PROfell","PROfell","-1.73817212597115"
"PROfell.1","PROfell.1","2.34918176074563"
"PROfell.2","PROfell.2","-2.6478687293006"
"PSEaust","PSEaust","0.879795223585688"
"RATmacl","RATmacl","3.65537640136907"
"RATnati","RATnati","14.3822880277884"
"RHYisar","RHYisar","-0.0269901949807106"
"SOLsapi","SOLsapi","16.0338202540697"
"SOLsapi.1","SOLsapi.1","10.5450375050106"
"TAEarcu","TAEarcu","-11.2657996697305"
"THAspce","THAspce","-7.66440991721497"
"UROcaud","UROcaud","-14.9208362484508"
"UROcaud.1","UROcaud.1","-13.1528577472079"
"UROimpe","UROimpe","4.70469208432382"
"UROimpe.1","UROimpe.1","1.40425169225617"
"UROrex_","UROrex_","7.74723186793013"
"UROrex_.1","UROrex_.1","6.98622670157467"
"VANoler","VANoler","-1.08108680826454"
"ZYZargu","ZYZargu","-12.2254322206457"
