"","","TPEIlqmean"
"ABEsevi","ABEsevi","71.390493603129"
"AETchry","AETchry","36.5320575915116"
"ANIimit","ANIimit","39.8640390054534"
"APOdata","APOdata","39.8453495587295"
"BANindi","BANindi","51.3516145300739"
"BUNchry","BUNchry","52.7160632477529"
"CHIglir","CHIglir","30.8317687570135"
"CHIglir.1","CHIglir.1","90.3752109676817"
"CHImajo","CHImajo","83.7065471244582"
"CHIpusi","CHIpusi","31.1806962774916"
"CHIforb","CHIforb","64.4866176366992"
"CHIforb.1","CHIforb.1","78.2880764034316"
"CHIlami","CHIlami","58.0651370496063"
"CHIpulc","CHIpulc","56.9318987974157"
"CHIvate","CHIvate","75.2193249595719"
"COCshaw","COCshaw","72.871656006816"
"CONpeni","CONpeni","26.6432449127982"
"CRAhean","CRAhean","60.4955889696457"
"GOLelli","GOLelli","37.160431635844"
"THApoen","THApoen","41.0015340539852"
"THApoen.1","THApoen.1","23.9393975269053"
"HAEmina","HAEmina","52.1524695410356"
"HAEpusi","HAEpusi","30.8071266117444"
"HAPlong","HAPlong","31.2081046780553"
"HAPlong.1","HAPlong.1","31.5695801012353"
"HYDchry","HYDchry","37.4290688190872"
"HYOgoli","HYOgoli","110.704112322971"
"HYOgoli.1","HYOgoli.1","102.021039559905"
"HYOgoli.2","HYOgoli.2","57.2305720306921"
"LEGforr","LEGforr","51.3992581463553"
"LEMstri","LEMstri","19.1693697738797"
"LENcana","LENcana","37.2783443404957"
"LEPcond","LEPcond","42.8949170235388"
"LEPspce","LEPspce","55.8305527169264"
"LORnouh","LORnouh","34.5672093379122"
"LORnouh.1","LORnouh.1","33.1127417877238"
"MACmajo","MACmajo","28.3892046827018"
"MALherc","MALherc","105.375275055824"
"MALista","MALista","90.2313706082893"
"MALroth","MALroth","95.6681578522866"
"MARbecc","MARbecc","33.1497663514157"
"MELcerv","MELcerv","85.3648202308941"
"MELrufe","MELrufe","75.5539322215545"
"MELrufe.1","MELrufe.1","69.4678464139668"
"MELrufe.2","MELrufe.2","53.9007145204772"
"MESgoul","MESgoul","21.5059658923226"
"MICnama","MICnama","26.1209297902535"
"MICspce","MICspce","53.0784717030209"
"MICminu","MICminu","60.518260831132"
"MICminu.1","MICminu.1","52.4000472594797"
"MILmelt","MILmelt","31.8318479330913"
"NIVcrem","NIVcrem","40.7405569123857"
"NOTalex","NOTalex","32.5076659494415"
"PARaspe","PARaspe","37.746687576602"
"PARspce","PARspce","40.5397206374607"
"TAEdomi","TAEdomi","38.8532790180793"
"PHLcumi","PHLcumi","63.7779142650327"
"PHLpall","PHLpall","41.7537988184206"
"PITmela","PITmela","71.5019170093984"
"PITmela.1","PITmela.1","66.142056819819"
"POGmaye","POGmaye","69.379514829688"
"ABEsevi.1","ABEsevi.1","59.4407409817958"
"ABEsevi.2","ABEsevi.2","57.7947909259504"
"POGlori","POGlori","74.7095681419059"
"POGlori.1","POGlori.1","74.9695185930991"
"POGlori.2","POGlori.2","70.9996422636655"
"POGmacr","POGmacr","68.6978609586105"
"POGmacr.1","POGmacr.1","97.4244491767019"
"POGlori.3","POGlori.3","66.3564725884186"
"POGsylv","POGsylv","57.2237850682148"
"POGsylv.1","POGsylv.1","65.9909406413206"
"PROfell","PROfell","57.5606100691248"
"PROfell.1","PROfell.1","73.9028106332725"
"PROfell.2","PROfell.2","47.6461567119802"
"PSEaust","PSEaust","43.8272395580282"
"RATmacl","RATmacl","63.7705473910249"
"RATnati","RATnati","77.0534677621618"
"RHYisar","RHYisar","56.8814859238749"
"SOLsapi","SOLsapi","82.2725321232181"
"SOLsapi.1","SOLsapi.1","65.0880742149928"
"TAEarcu","TAEarcu","37.8548184552365"
"THAspce","THAspce","38.0168953526394"
"UROcaud","UROcaud","45.3834068053484"
"UROcaud.1","UROcaud.1","48.8297486120603"
"UROimpe","UROimpe","73.9461513177876"
"UROimpe.1","UROimpe.1","62.6904537572107"
"UROrex_","UROrex_","75.8790356966022"
"UROrex_.1","UROrex_.1","70.7214003060731"
"VANoler","VANoler","46.8653463169643"
"ZYZargu","ZYZargu","27.1480563178718"
