"","","ResidualTPEIlq"
"ABEsevi","ABEsevi","18.2565915405409"
"AETchry","AETchry","-16.3243566185741"
"ANIimit","ANIimit","-20.8179117189687"
"APOdata","APOdata","-14.5616166478509"
"BANindi","BANindi","-13.3408969530291"
"BUNchry","BUNchry","-2.28476557613592"
"CHIglir","CHIglir","-13.6689053503649"
"CHIglir.1","CHIglir.1","43.8528348548954"
"CHImajo","CHImajo","35.0669228644197"
"CHIpusi","CHIpusi","-10.6659766327357"
"CHIforb","CHIforb","7.52239200968733"
"CHIforb.1","CHIforb.1","21.1595872011877"
"CHIlami","CHIlami","3.86838597224428"
"CHIpulc","CHIpulc","-1.32388918684368"
"CHIvate","CHIvate","23.0871462501787"
"COCshaw","COCshaw","22.5962556977966"
"CONpeni","CONpeni","-28.9797483358553"
"CRAhean","CRAhean","-12.295870839023"
"GOLelli","GOLelli","-14.2948779838176"
"THApoen","THApoen","-11.3102005063306"
"THApoen.1","THApoen.1","-24.4122330235317"
"HAEmina","HAEmina","7.09927976120311"
"HAEpusi","HAEpusi","-14.7913025117615"
"HAPlong","HAPlong","-25.7322940943967"
"HAPlong.1","HAPlong.1","-25.6304311918608"
"HYDchry","HYDchry","-27.4348831258779"
"HYOgoli","HYOgoli","42.110673586858"
"HYOgoli.1","HYOgoli.1","36.5654599837086"
"HYOgoli.2","HYOgoli.2","-10.1800298728464"
"LEGforr","LEGforr","6.00100057845911"
"LEMstri","LEMstri","-33.4387535692418"
"LENcana","LENcana","-19.5239905337158"
"LEPcond","LEPcond","-12.8184722719474"
"LEPspce","LEPspce","1.45230687396269"
"LORnouh","LORnouh","-11.7574872416644"
"LORnouh.1","LORnouh.1","-10.7195105617593"
"MACmajo","MACmajo","-31.0190516669243"
"MALherc","MALherc","35.9780336479477"
"MALista","MALista","22.7110349661295"
"MALroth","MALroth","26.7855934334265"
"MARbecc","MARbecc","-17.4527942289114"
"MELcerv","MELcerv","31.9896954903555"
"MELrufe","MELrufe","22.623278577059"
"MELrufe.1","MELrufe.1","17.147043801772"
"MELrufe.2","MELrufe.2","0.372213700522"
"MESgoul","MESgoul","-39.5262502162299"
"MICnama","MICnama","-23.8666302590382"
"MICspce","MICspce","8.4645102568357"
"MICminu","MICminu","17.4482431508383"
"MICminu.1","MICminu.1","5.71434548336983"
"MILmelt","MILmelt","-29.3458635994662"
"NIVcrem","NIVcrem","-6.63028889772547"
"NOTalex","NOTalex","-16.5516722946579"
"PARaspe","PARaspe","-24.3902840845226"
"PARspce","PARspce","-10.0580950010936"
"TAEdomi","TAEdomi","-20.0874684588801"
"PHLcumi","PHLcumi","-5.61507908826404"
"PHLpall","PHLpall","-29.2134468375707"
"PITmela","PITmela","15.1868677334841"
"PITmela.1","PITmela.1","8.62680747363185"
"POGmaye","POGmaye","13.9855139198115"
"ABEsevi.1","ABEsevi.1","4.59651977699705"
"ABEsevi.2","ABEsevi.2","5.22986919820815"
"POGlori","POGlori","19.4050856569498"
"POGlori.1","POGlori.1","20.8816488360279"
"POGlori.2","POGlori.2","11.258423407814"
"POGmacr","POGmacr","16.3502734837978"
"POGmacr.1","POGmacr.1","44.3617426248898"
"POGlori.3","POGlori.3","11.3162311339713"
"POGsylv","POGsylv","4.62636201587746"
"POGsylv.1","POGsylv.1","13.6550324120575"
"PROfell","PROfell","4.11996549660258"
"PROfell.1","PROfell.1","20.0555647832795"
"PROfell.2","PROfell.2","-5.00730857443847"
"PSEaust","PSEaust","-6.65937366552443"
"RATmacl","RATmacl","2.12983004545191"
"RATnati","RATnati","13.2225945043007"
"RHYisar","RHYisar","-0.181242568705459"
"SOLsapi","SOLsapi","20.1325073463091"
"SOLsapi.1","SOLsapi.1","2.62658726334773"
"TAEarcu","TAEarcu","-18.5954284308259"
"THAspce","THAspce","-15.697672755471"
"UROcaud","UROcaud","-18.3538025085022"
"UROcaud.1","UROcaud.1","-16.2240717476624"
"UROimpe","UROimpe","9.62579020863095"
"UROimpe.1","UROimpe.1","-0.816769551350099"
"UROrex_","UROrex_","9.51259240168973"
"UROrex_.1","UROrex_.1","6.52028697618709"
"VANoler","VANoler","-0.129274048093665"
"ZYZargu","ZYZargu","-23.5686535507242"
