Genus_species	Nomenclature	Prehensility	Locomotion	Climbing
Abeomelomys_sevia	ABEsevi	P	ARB	CLI
Aethomys_chrysophilus	AETchry	N	SCA	CLI
Anisomys_imitator	ANIimit	N	SCA	CLI
Apomys_datae	APOdata	N	TER	NCL
Bandicota_indica	BANindi	N	TER	NCL
Bunomys_chrysocomus	BUNchry	N	TER	NCL
Chiropodomys_gliroides	CHIglir	N	ARB	CLI
Chiropodomys_major	CHImajo	N	ARB	CLI
Chiruromys_forbesi	CHIforb	P	ARB	CLI
Chiruromys_lamia	CHIlami	P	ARB	CLI
Chiruromys_pulcher	CHIpulc	P	ARB	CLI
Chiruromys_vates	CHIvate	P	ARB	CLI
Coccymys_shawmayeri	COCshaw	P	SCA	CLI
Conilurus_penicillatus	CONpeni	N	SCA	CLI
Crateromys_heaneyi	CRAhean	N	ARB	CLI
Golunda_ellioti	GOLelli	N	TER	NCL
Haeromys_minahassae	HAEmina	N	ARB	CLI
Hapalomys_longicaudatus	HAPlong	N	ARB	CLI
Hydromys_chrisogaster	HYDchry	N	AQU	NCL
Hyomys_goliath_2	HYOgol2	N	TER	NCL
Hyomys_goliath	HYOgoli	P	TER	NCL
Leggadina_forresti	LEGforr	N	TER	NCL
Lemniscomys_striatus	LEMstri	N	TER	NCL
Lenothrix_cana	LENcana	N	ARB	CLI
Leporillus_conditor	LEPcond	N	TER	NCL
Leptomys_sp	LEPspce	N	TER	NCL
Lorentzimys_nouhuysi	LORnouh	N	ARB	CLI
Macruromys_major	MACmajo	N	TER	NCL
Mallomys_hercules	MALherc	P	SCA	CLI
Mallomys_istapantap	MALista	P	TER	NCL
Mallomys_rothschildi	MALroth	P	SCA	CLI
Margaretamys_beccarii	MARbecc	N	ARB	CLI
Melomys_cervinipes	MELcerv	P	ARB	CLI
Melomys_rufescens	MELrufe	P	SCA	CLI
Mesembryomys_gouldii	MESgoul	N	SCA	CLI
Micaelamys_namaquensis	MICnama	N	SCA	CLI
Microhydromys_sp	MICspce	N	TER	NCL
Micromys_minutus	MICminu	P	SCA	CLI
Millardia_meltada	MILmelt	N	TER	NCL
Niviventer_cremoriventer	NIVcrem	N	ARB	CLI
Notomys_alexis	NOTalex	N	SAL	NCL
Parahydromys_asper	PARaspe	N	TER	NCL
Paramelomys_sp	PARspce	N	TER	NCL
Phloeomys_cumingi	PHLcumi	N	ARB	CLI
Phloeomys_pallidus	PHLpall	N	ARB	CLI
Pithecheir_melanurus	PITmela	P	ARB	CLI
Pogonomelomys_mayeri	POGmaye	P	ARB	CLI
Pogonomys_loriae	POGlori	P	ARB	CLI
Pogonomys_macrourus	POGmacr	P	ARB	CLI
Pogonomys_sylvestris	POGsylv	P	ARB	CLI
Protochromys_fellowsi	PROfell	P	NA_	NA_
Pseudomys_australis	PSEaust	N	TER	NCL
Rattus_macleari	RATmacl	N	ARB	CLI
Rattus_nativitatis	RATnati	N	TER	NCL
Rhynchomys_isarogensis	RHYisar	N	TER	NCL
Solomys_sapientis	SOLsapi	P	ARB	CLI
Taeromys_arcuatus	TAEarcu	N	TER	NCL
Taeromys_dominator	TAEdomi	N	SCA	CLI
Thallomys_spce	THAspce	N	ARB	CLI
Thamnomys_poensis	THApoen	N	ARB	CLI
Uromys_caudimaculatus	UROcaud	N	SCA	CLI
Uromys_imperator	UROimpe	N	TER	NCL
Uromys_rex	UROrex_	P	ARB	CLI
Vandeleuria_oleracea	VANoler	N	ARB	CLI
Zyzomys_argurus	ZYZargu	N	TER	NCL
